Term,Definition
lens length,"Defines the magnification properties of a camera's lens; the greater the lens length, the narrower the field of view."
level of smoothness,The property assigned to a mesh object that controls how much the edges are smoothed; higher levels result in more faces and increased smoothness.
library search path,"The order in which the product looks for a support file: current folder, drawing folder, support path, and folder containing the executable file."
light glyph,The graphic representation of a point light or a spotlight.
limits,See drawing limits.
line font,See linetype.
linetype,"How a line or curve is displayed, e.g., a continuous line has a different linetype than a dashed line, also called line font. (LINETYPE)"
lineweight,A width value that can be assigned to all graphical objects except TrueType fonts and raster images.
link (OLE),To use OLE to reference data in another file so that changes to the source document are automatically updated in any destination document.
LL84 coordinate system,Common latitude longitudinal-based coordinate system where latitude and longitude are measured from -90 to 90 degrees.
lofted solid or surface,A solid or surface drawn through a set of two or more cross-section curves that define the profile of the resulting object. (LOFT)
lookup property,"In a dynamic block definition, a lookup parameter added to a lookup table whose value is assigned to the block reference based on input property matches. (BLOOKUPTABLE)"
lookup table,Defines properties for and assigns property values to a dynamic block based on how the block is manipulated. (BLOOKUPTABLE)
lumen,The SI unit of luminous flux (Symbol: lm).
luminaire,The aggregation of a lamp or lamps and its fixture.
luminance,"The value of light reflected off a surface, measuring how bright or dark we perceive the surface."
luminous flux,The perceived power in per unit of solid angle; the total luminous flux for a lamp is the perceived power emitted in all directions.
lux,The SI unit of illuminance (symbol: lx). Lm/m�.
macro-derived selection,A selection set of all objects created during the playback of an action macro up to the command requesting a selection set.
magnitude,See bulge magnitude.
main customization file,"The CUIx file that defines most user interface elements including menus, toolbars, keyboard accelerators; loaded automatically at startup."
map image,"In the geolocation feature, a transient map retrieved from an online service provider and displayed in the drawing area to cover the region of the assigned coordinate system."
markup,A single comment or markup geometry correction inserted into a DWF file using Autodesk Design Review.
markup set,A group of markups contained within a single DWF file.
merge,"In tables, an adjacent cell selection that has been combined into a single cell."
mesh,"A tessellated, or subdivided object type defined by faces, edges, and vertices that can be smoothed or creased."
mini wheels,The small version of SteeringWheels with no labels displayed on any of the wedges.
mirror,To create a new version of an existing object by reflecting it symmetrically with respect to a specified line or plane. (MIRROR)
mode,A software setting or operating state.
model,"A 2D or 3D representation of a mechanical part, house or building, piping, electrical circuitry, or other entity."
model documentation,A feature that generates associative 2D drawings from AutoCAD and Autodesk Inventor 3D models.
model edge,"In the model documentation feature, the style of the cutout line displayed by a detail view."
model space,"One of the two primary spaces in which objects reside, typically where geometric models are created. (MSPACE)"
model viewports,A feature that splits the drawing area into one or more adjacent rectangular viewing areas. (VPORTS)
motion path,"Defines the path or target of a camera; a path can be a line, arc, elliptical arc, circle, polyline, 3D polyline, or spline."
